gene1,gene2,lag,p-value
CCND2,ZEB2,1,0.0002749673725256608
CCND2,ZEB2,1,0.0002749673725256608
CCND2,ZNF674,1,0.0001348696529452928
PHGDH,CCND2,1,6.22150189569877e-05
TMEM240,CCND2,1,0.00025737991258151043
CCND2,ZNF674,1,0.0001348696529452928
CTNNB1,PHGDH,1,6.40886815332835e-05
PHGDH,CCND2,1,6.22150189569877e-05
PHGDH,COL2A1,1,0.00013155967614338694
PHGDH,CYC1,1,0.00023072595900299752
TMEM240,CCND2,1,0.00025737991258151043
ZNF674,MAP2K1,1,4.821546545526679e-05
ASL,CTNNB1,1,0.00014096890197602514
COL2A1,CTSF,1,0.00015375016548535903
CTNNB1,PHGDH,1,6.40886815332835e-05
FGD1,CTNNB1,1,0.0002575288234490949
HCFC1,COL2A1,1,0.0001299145326742121
MAP2K1,CYP1B1,1,0.00014334824192027581
PHGDH,COL2A1,1,0.00013155967614338694
PHGDH,CYC1,1,0.00023072595900299752
SOX3,CTNNB1,1,0.00015857521159283922
SUMF1,CTNNB1,1,5.9712721312831676e-05
ZNF674,MAP2K1,1,4.821546545526679e-05
ACP5,CYP1B1,1,0.00020407305077909548
ASL,CTNNB1,1,0.00014096890197602514
ASL,NAA10,1,0.0002520150528940775
B4GALNT1,ASL,1,2.861602797178702e-05
C19orf12,ASL,1,3.103966232839226e-05
COL2A1,CTSF,1,0.00015375016548535903
FA2H,CYP1B1,1,0.00025362435346582777
FGD1,CTNNB1,1,0.0002575288234490949
HCFC1,ACTA2,1,2.8141511106031986e-05
HCFC1,COL2A1,1,0.0001299145326742121
HCFC1,TRAPPC6B,1,0.0001915007228615293
MAP2K1,CYP1B1,1,0.00014334824192027581
MAT1A,CTSF,1,0.00012146273869564659
NTRK1,CYP1B1,1,0.00021252061140551907
SOX3,CTNNB1,1,0.00015857521159283922
SOX3,HSD17B4,1,6.129031073980978e-05
SUMF1,COL11A1,1,0.0002423381685966516
SUMF1,CTNNB1,1,5.9712721312831676e-05
SUMF1,EEF1B2,1,0.0001976395089502613
SUMF1,TMEM126B,1,2.4908024449747192e-05
ACP5,CD96,1,0.0002558256078140634
ACP5,CYP1B1,1,0.00020407305077909548
ACP5,DSTYK,1,0.00011349814036782801
ACP5,NAGS,1,2.343364541214121e-05
ASL,NAA10,1,0.0002520150528940775
B4GALNT1,ASL,1,2.861602797178702e-05
C19orf12,ASL,1,3.103966232839226e-05
COQ9,TRAPPC6B,1,0.00013290690199379583
FA2H,CYP1B1,1,0.00025362435346582777
HCFC1,ACTA2,1,2.8141511106031986e-05
HCFC1,TRAPPC6B,1,0.0001915007228615293
HSD17B4,BCKDHB,1,0.00018092125173008107
HSD17B4,COX10,1,0.00017503213113410963
MAT1A,CTSF,1,0.00012146273869564659
NAA10,GRIA1,1,3.425207565289729e-05
NTRK1,CYP1B1,1,0.00021252061140551907
PEX26,TRAPPC6B,1,0.00020269426213679432
SHANK3,FA2H,1,0.00022334911032586625
SOS1,B4GALNT1,1,8.564948871148424e-05
SOX3,HSD17B4,1,6.129031073980978e-05
SUMF1,COL11A1,1,0.0002423381685966516
SUMF1,EEF1B2,1,0.0001976395089502613
SUMF1,TMEM126B,1,2.4908024449747192e-05
TMEM126B,SMOC1,1,0.0001782518117204605
TRAPPC6B,ADK,1,0.00010429179967530831
UNC80,ACTA2,1,0.00021652253900880018
ACP5,CD96,1,0.0002558256078140634
ACP5,DSTYK,1,0.00011349814036782801
ACP5,NAGS,1,2.343364541214121e-05
ADK,MPDU1,1,0.00025223581250695875
CASR,CD96,1,0.0002895715140759258
COQ9,TRAPPC6B,1,0.00013290690199379583
CTC1,GRIA1,1,0.00010371592153357519
CTCF,SMOC1,1,3.441038368277786e-05
GRIA1,SETD2,1,8.710477029123627e-05
GTF2H5,COX10,1,0.00014665925243163876
HSD17B4,BCKDHB,1,0.00018092125173008107
HSD17B4,COX10,1,0.00017503213113410963
MTM1,CD96,1,4.264502862802249e-06
NAA10,GRIA1,1,3.425207565289729e-05
NAGS,ATP6V1B1,1,0.00015993758819348982
NDUFAF2,UNC80,1,0.00016047553497060884
PEX26,TRAPPC6B,1,0.00020269426213679432
SHANK3,FA2H,1,0.00022334911032586625
SMOC1,SNAP29,1,0.0002725540718071905
SOS1,B4GALNT1,1,8.564948871148424e-05
TMEM126B,SMOC1,1,0.0001782518117204605
TRAPPC6B,ADK,1,0.00010429179967530831
UNC80,ACTA2,1,0.00021652253900880018
UNC80,IRF6,1,0.00022175116848753058
UNC80,SLC45A1,1,0.00013317217362254378
ADK,MPDU1,1,0.00025223581250695875
CASR,CD96,1,0.0002895715140759258
CASR,TP63,1,1.5056175906523358e-05
CTC1,GRIA1,1,0.00010371592153357519
CTCF,SMOC1,1,3.441038368277786e-05
GNPAT,NDUFAF2,1,5.321641135363899e-05
GRIA1,SETD2,1,8.710477029123627e-05
GTF2H5,COX10,1,0.00014665925243163876
GTF2H5,NBAS,1,0.0002733234664658007
IRF6,DDB2,1,7.541404476639273e-05
MPDU1,ACO2,1,0.0001028004393621422
MTM1,CD96,1,4.264502862802249e-06
MTM1,NAA15,1,0.00010300764479822073
NAGS,ATP6V1B1,1,0.00015993758819348982
NDUFAF2,UNC80,1,0.00016047553497060884
PET100,SNAP29,1,0.0002752692004479068
SMOC1,SNAP29,1,0.0002725540718071905
UNC80,IRF6,1,0.00022175116848753058
UNC80,SLC45A1,1,0.00013317217362254378
ANO5,TP63,1,0.00017709596343174424
CASR,TP63,1,1.5056175906523358e-05
ERCC6L2,NBAS,1,1.2160008585407686e-05
FBXO31,DDB2,1,7.019413645224265e-05
GNPAT,KIF2A,1,6.150974847504871e-05
GNPAT,NDUFAF2,1,5.321641135363899e-05
GTF2H5,NBAS,1,0.0002733234664658007
IRF6,DDB2,1,7.541404476639273e-05
MPDU1,ACO2,1,0.0001028004393621422
MTM1,NAA15,1,0.00010300764479822073
PET100,PKD1L1,1,4.485202579466144e-05
PET100,SNAP29,1,0.0002752692004479068
ANO5,TP63,1,0.00017709596343174424
ANO5,WNT7A,1,1.2555008992920223e-05
ERCC6L2,NBAS,1,1.2160008585407686e-05
FBXO31,DDB2,1,7.019413645224265e-05
GNPAT,KIF2A,1,6.150974847504871e-05
KIF2A,ALX3,1,0.0002844071447927601
PET100,PKD1L1,1,4.485202579466144e-05
SNX14,PKD1L1,1,0.00026870438837462226
ALX3,B3GLCT,1,0.00022768379411396405
ANO5,WNT7A,1,1.2555008992920223e-05
KIF2A,ALX3,1,0.0002844071447927601
SNX14,PKD1L1,1,0.00026870438837462226
