gene1,gene2,lag,p-value
CCND2,ZEB2,1,0.0002749673725256608
CCND2,ZEB2,1,0.0002749673725256608
CCND2,ZNF674,1,0.0001348696529452928
PHGDH,CCND2,1,6.22150189569877e-05
TMEM240,CCND2,1,0.00025737991258151043
CCND2,ZNF674,1,0.0001348696529452928
CTNNB1,PHGDH,1,6.40886815332835e-05
HSF4,ZNF674,1,0.000310620663809406
PHGDH,CCND2,1,6.22150189569877e-05
PHGDH,COL2A1,1,0.00013155967614338694
PHGDH,CYC1,1,0.00023072595900299752
TMEM240,CCND2,1,0.00025737991258151043
ZNF674,DLL4,1,0.0003114869296451913
ZNF674,MAP2K1,1,4.821546545526679e-05
ASL,CTNNB1,1,0.00014096890197602514
BSCL2,DLL4,1,0.00028282155479961743
COL2A1,CTSF,1,0.00015375016548535903
COX7B,DLL4,1,0.00015849867631508033
CTNNB1,PHGDH,1,6.40886815332835e-05
FGD1,CTNNB1,1,0.0002575288234490949
GALK1,DLL4,1,0.00021189242980634566
HCFC1,COL2A1,1,0.0001299145326742121
HSF4,DLG3,1,0.00021167770322657255
HSF4,PIGV,1,0.0002445634010443328
HSF4,ZNF674,1,0.000310620663809406
MAP2K1,CYP1B1,1,0.00014334824192027581
NPHP1,DLL4,1,9.674738105086961e-05
PEX2,DLL4,1,0.0003275939238677313
PHGDH,COL2A1,1,0.00013155967614338694
PHGDH,CYC1,1,0.00023072595900299752
SOX3,CTNNB1,1,0.00015857521159283922
SUMF1,CTNNB1,1,5.9712721312831676e-05
ZNF674,DLL4,1,0.0003114869296451913
ZNF674,MAP2K1,1,4.821546545526679e-05
ACAN,DLG3,1,0.00022966286290845207
ACP5,CYP1B1,1,0.00020407305077909548
ASL,CTNNB1,1,0.00014096890197602514
ASL,EOGT,1,0.0003409808715723386
ASL,NAA10,1,0.0002520150528940775
B4GALNT1,ASL,1,2.861602797178702e-05
BSCL2,CHD7,1,0.00011628760070894678
BSCL2,DLL4,1,0.00028282155479961743
C19orf12,ASL,1,3.103966232839226e-05
CHD4,PEX2,1,4.870467395951233e-05
COL2A1,CTSF,1,0.00015375016548535903
COX7B,DLL4,1,0.00015849867631508033
DLG2,SOX3,1,0.00034996642016442425
FA2H,CYP1B1,1,0.00025362435346582777
FGD1,CTNNB1,1,0.0002575288234490949
GALK1,D2HGDH,1,5.854322652905218e-05
GALK1,DLL4,1,0.00021189242980634566
GNPTAB,PIGV,1,6.206225095156529e-05
HCFC1,ACTA2,1,2.8141511106031986e-05
HCFC1,COL2A1,1,0.0001299145326742121
HCFC1,TRAPPC6B,1,0.0001915007228615293
HEXA,GALK1,1,0.000267616404829167
HSF4,DLG3,1,0.00021167770322657255
HSF4,PIGV,1,0.0002445634010443328
MAP2K1,CYP1B1,1,0.00014334824192027581
MAT1A,CTSF,1,0.00012146273869564659
NPHP1,DLL4,1,9.674738105086961e-05
NTRK1,CYP1B1,1,0.00021252061140551907
PEX2,DLL4,1,0.0003275939238677313
PEX2,SLC27A4,1,0.0002432511570319556
PIGV,WDR26,1,0.00012280471608261878
SLC12A6,PEX2,1,0.00015302830445698316
SOX3,CTNNB1,1,0.00015857521159283922
SOX3,HSD17B4,1,6.129031073980978e-05
STRADA,BSCL2,1,0.00027303821684574554
SUMF1,COL11A1,1,0.0002423381685966516
SUMF1,CTNNB1,1,5.9712721312831676e-05
SUMF1,EEF1B2,1,0.0001976395089502613
SUMF1,TMEM126B,1,2.4908024449747192e-05
UBE3B,PEX2,1,0.00020360807055933106
ACAN,DLG3,1,0.00022966286290845207
ACAN,TGFB1,1,1.0077665141621579e-05
ACAN,TUBG1,1,0.0003245845761447635
ACP5,CD96,1,0.0002558256078140634
ACP5,CYP1B1,1,0.00020407305077909548
ACP5,DSTYK,1,0.00011349814036782801
ACP5,NAGS,1,2.343364541214121e-05
ASL,EOGT,1,0.0003409808715723386
ASL,NAA10,1,0.0002520150528940775
B4GALNT1,ASL,1,2.861602797178702e-05
BSCL2,CHD7,1,0.00011628760070894678
C19orf12,ASL,1,3.103966232839226e-05
CHD4,PEX2,1,4.870467395951233e-05
CHD4,TCF12,1,0.00029530551393768976
COQ9,TRAPPC6B,1,0.00013290690199379583
CRYBA1,D2HGDH,1,4.966057670142583e-05
D2HGDH,JAM3,1,3.3602943199987935e-05
DLG2,SOX3,1,0.00034996642016442425
EBP,UBE3B,1,0.00010272129594535078
EDA,TMEM126B,1,0.00030751358866622593
EEF1B2,CEP57,1,0.00033348789255680374
EOGT,ITPR1,1,0.0002924220855946392
EOGT,SPR,1,0.000277209292052164
FA2H,CYP1B1,1,0.00025362435346582777
FGF12,WDR26,1,0.0001642611641370843
FUT8,SLC12A6,1,0.00013580513998986098
GALK1,D2HGDH,1,5.854322652905218e-05
GLI3,WDR26,1,0.00022202562594001823
GNPTAB,CHD4,1,0.00025234484123454984
GNPTAB,HADHA,1,0.00018862212388300636
GNPTAB,PIGV,1,6.206225095156529e-05
GRIK2,SLC27A4,1,0.00031762417487084997
HCFC1,ACTA2,1,2.8141511106031986e-05
HCFC1,TRAPPC6B,1,0.0001915007228615293
HEXA,FBXO11,1,0.00021476446258518423
HEXA,GALK1,1,0.000267616404829167
HEXA,SLC25A22,1,0.0002449665171494881
HNRNPU,WDR26,1,0.00016389461587926196
HSD17B4,BCKDHB,1,0.00018092125173008107
HSD17B4,COX10,1,0.00017503213113410963
LARP7,SLC12A6,1,0.00031161242044234957
LRP2,ACAN,1,0.00023928265367149454
MAT1A,CTSF,1,0.00012146273869564659
MAT1A,SLC39A14,1,0.00032100713540777565
NAA10,GRIA1,1,3.425207565289729e-05
NKX3-2,EOGT,1,0.0002813115329253697
NTRK1,CYP1B1,1,0.00021252061140551907
NTRK1,SLC25A15,1,0.00029273485970610465
PEX2,SLC27A4,1,0.0002432511570319556
PEX26,TRAPPC6B,1,0.00020269426213679432
PIGV,WDR26,1,0.00012280471608261878
RAB18,WDR26,1,9.143632074160328e-05
SGPL1,SLC12A6,1,0.00017375805213835696
SHANK3,FA2H,1,0.00022334911032586625
SLC12A6,PEX2,1,0.00015302830445698316
SOS1,B4GALNT1,1,8.564948871148424e-05
SOX11,WDR26,1,1.3640543395336426e-05
SOX3,HSD17B4,1,6.129031073980978e-05
STRADA,BSCL2,1,0.00027303821684574554
STRADA,CRYBA1,1,8.335085322258704e-05
STRADA,EPG5,1,0.00015791380932889275
STRADA,GRIA2,1,2.9852521209619973e-05
SUMF1,COL11A1,1,0.0002423381685966516
SUMF1,EEF1B2,1,0.0001976395089502613
